"year","month","day","week","death","temp"
2000,8,19,1495,41,19.5599304199219
2000,8,20,1495,33,17.6074768066406
2000,8,21,1496,36,15.4225708007813
2000,8,22,1496,51,16.5849243164063
2000,8,23,1496,45,19.0620361328125
2000,8,24,1496,32,21.3574462890625
2000,8,25,1496,32,23.1267944335938
2000,8,26,1496,37,20.8271423339844
2000,8,27,1496,35,17.4012084960938
2000,8,28,1497,26,16.7944580078125
2000,8,29,1497,49,17.89052734375
2000,8,30,1497,34,18.4368530273438
2000,8,31,1497,31,18.3124938964844
2000,9,1,1497,54,17.0489135742188
2000,9,2,1497,35,16.1883483886719
2000,9,3,1497,32,15.3088317871094
2000,9,4,1498,40,14.2080932617188
2000,9,5,1498,49,15.2611938476563
2000,9,6,1498,45,16.7600341796875
2000,9,7,1498,45,15.4940124511719
2000,9,8,1498,35,17.8753295898438
2000,9,9,1498,43,19.0546203613281
2000,9,10,1498,50,19.5463195800781
2000,9,11,1499,43,21.001611328125
2000,9,12,1499,40,18.851220703125
2000,9,13,1499,47,16.9706359863281
2000,9,14,1499,41,18.6422668457031
2000,9,15,1499,54,18.1106201171875
2000,9,16,1499,47,15.7802673339844
2000,9,17,1499,41,15.3619018554688
2000,9,18,1500,35,16.8200927734375
2000,9,19,1500,41,16.8919311523438
2000,9,20,1500,53,14.1013427734375
2000,9,21,1500,44,14.2220397949219
2000,9,22,1500,39,17.8583312988281
2000,9,23,1500,32,17.6367431640625
2000,9,24,1500,39,17.2872253417969
2000,9,25,1501,50,15.0131774902344
2000,9,26,1501,40,17.8643737792969
2000,9,27,1501,51,16.6135803222656
2000,9,28,1501,42,16.0541320800781
2000,9,29,1501,43,15.273828125
2000,9,30,1501,43,13.3509765625
2000,10,1,1501,43,13.2070251464844
2000,10,2,1502,41,12.6726013183594
2000,10,3,1502,40,12.2615905761719
2000,10,4,1502,49,13.812646484375
2000,10,5,1502,45,13.0305114746094
2000,10,6,1502,41,10.1439453125
2000,10,7,1502,42,10.1194091796875
2000,10,8,1502,53,11.3926025390625
2000,10,9,1503,35,10.4690490722656
2000,10,10,1503,32,10.3314758300781
2000,10,11,1503,41,11.5841918945313
2000,10,12,1503,47,11.4282470703125
2000,10,13,1503,47,10.6289001464844
2000,10,14,1503,45,10.2604614257813
2000,10,15,1503,52,11.4838195800781
2000,10,16,1504,56,11.1037841796875
2000,10,17,1504,56,9.96572265625002
2000,10,18,1504,47,11.1780334472656
2000,10,19,1504,46,13.4566284179688
2000,10,20,1504,48,14.2631774902344
2000,10,21,1504,39,15.3945861816406
2000,10,22,1504,43,15.1144653320313
2000,10,23,1505,63,15.3334289550781
2000,10,24,1505,40,11.9750610351563
2000,10,25,1505,41,12.3870178222656
2000,10,26,1505,50,10.9405456542969
2000,10,27,1505,44,11.8958679199219
2000,10,28,1505,56,13.5592895507813
2000,10,29,1505,42,11.2234741210938
2000,10,30,1506,43,10.4287658691406
2000,10,31,1506,58,9.94255981445315
2000,11,1,1506,43,8.9383483886719
2000,11,2,1506,49,9.46087036132815
2000,11,3,1506,59,8.2690368652344
2000,11,4,1506,42,6.82854614257815
2000,11,5,1506,38,7.94417724609377
2000,11,6,1507,32,9.51226196289065
2000,11,7,1507,34,7.9381042480469
2000,11,8,1507,46,8.12502441406252
2000,11,9,1507,56,6.86269531250002
2000,11,10,1507,55,5.47271118164065
2000,11,11,1507,51,7.84560546875002
2000,11,12,1507,42,9.86208496093752
2000,11,13,1508,55,8.21209106445315
2000,11,14,1508,40,5.82598266601565
2000,11,15,1508,56,5.92891845703127
2000,11,16,1508,51,6.1893249511719
2000,11,17,1508,33,4.41521606445315
2000,11,18,1508,39,6.82747802734377
2000,11,19,1508,53,9.1049743652344
2000,11,20,1509,48,6.2762390136719
2000,11,21,1509,56,7.4222351074219
2000,11,22,1509,41,8.3951354980469
2000,11,23,1509,37,8.53005371093752
2000,11,24,1509,67,5.92031250000002
2000,11,25,1509,50,8.47234497070315
2000,11,26,1509,40,7.66866455078127
2000,11,27,1510,47,7.2619567871094
2000,11,28,1510,55,12.2456909179688
2000,11,29,1510,61,11.3434387207031
2000,11,30,1510,55,9.8012634277344
2000,12,1,1510,48,11.3195129394531
2000,12,2,1510,51,9.95015869140627
2000,12,3,1510,37,7.8773132324219
2000,12,4,1511,42,7.9654479980469
2000,12,5,1511,41,10.4041076660156
2000,12,6,1511,55,10.725
2000,12,7,1511,33,11.3880554199219
2000,12,8,1511,52,12.0207763671875
2000,12,9,1511,55,9.46260986328127
2000,12,10,1511,45,10.7723937988281
2000,12,11,1512,43,11.3516784667969
2000,12,12,1512,48,11.9420104980469
2000,12,13,1512,47,11.0898681640625
2000,12,14,1512,53,8.4382263183594
2000,12,15,1512,48,5.35735473632815
2000,12,16,1512,54,4.33065185546877
2000,12,17,1512,47,5.00457153320315
2000,12,18,1513,57,7.65422973632815
2000,12,19,1513,63,8.42684326171877
2000,12,20,1513,47,6.55962524414065
2000,12,21,1513,53,5.53215942382815
2000,12,22,1513,62,3.49349365234377
2000,12,23,1513,52,5.25478515625002
2000,12,24,1513,55,6.37871704101565
